Cod_Proyecto|Construccion|Materiales|SistConstruc|ElemConstruc|ProcConstruc|ProdConstruc|AguaPotable|AguaServidas|Basura|DispExcretas|BioEnerRenov|Saneamiento|EnergiasAlternas|RedesSistemas|SistemasInformacionC|RedesDistAgua|SistemasInformacionA|Eolica|Solar|Fotovoltaica|Biogas|Biodisel|Biocombustibles|Hidraulica|Geotermica|Biomasa|SistemasInformacionE
VE133IP01T00|True|False|False|False|True|False|False|False|False|False|False|False|False|True|True|False|False|False|False|False|False|False|False|False|False|False|False
VE134IP01T00|True|False|True|False|True|False|False|False|False|False|False|False|False|True|True|False|False|False|False|False|False|False|False|False|False|False|False
VE135IP01T00|True|False|True|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
VE136IP01T00|True|False|True|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
VE137IP01T00|True|False|True|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
VE138IVP01T00|False|False|False|False|False|False|False|False|False|False|False|False|False|True|True|False|True|False|False|False|False|False|False|False|False|False|True
VE139IP01T00|True|True|True|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
VE140IP01T00|True|False|True|False|True|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False
VE141IP01T00|True|True|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
VE142IP01T00|True|False|False|False|False|True|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False
VE143IVP01T00|False|False|False|False|False|False|False|False|False|False|False|False|False|True|True|False|True|False|False|False|False|False|False|False|False|False|True
